Country Code,Access to electricity (% of population),Battle-related deaths (number of people),Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),GDP per capita (constant 2015 US$),"Labor force participation rate, total (% of total population ages 15+) (national estimate)","Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total",Proportion of seats held by women in national parliaments (%),Income Group,Region
ABW,100,..,0.0021,31430.9353682253,..,76.353,..,..,107359,..,High income,Latin America & Caribbean
AFE,50.6675157944854,..,40.6725,1431.72178996886,..,65.1462279163724,41.9690853793299,1021883,750491370,30.5180591025173,,Africa Eastern and Southern
AFG,85.3,237,0.0931,378.06630312259,..,66.035,49.9,72559,41454761,..,Low income,Middle East & North Africa
AFW,57.0692665803595,9004,33.2706,1778.86434703356,..,58.8557398136649,57.3536816920022,959600,509398589,20.7677165354331,,Africa Western and Central
AGO,51.1,..,1.7977,2809.15727975557,72.207,64.617,33,44948,36749906,33.6363636363636,Lower middle income,Sub-Saharan Africa
ALB,100,..,0.8186,6198.17195301204,63.882,79.602,8.3,241,2414095,35.7142857142857,Upper middle income,Europe & Central Asia
AND,100,..,..,40227.2524257376,..,84.041,2.5,1,80856,50,High income,Europe & Central Asia
ARB,91.6454299444509,..,232.7081,6311.42160022415,..,72.4446783578531,27.4409368971315,306091,482105978,17.7282377919321,,Arab World
ARE,100,..,19.111,41926.5823645673,78.454,82.909,4,396,10483751,50,High income,Middle East & North Africa
ARG,100,..,11.2778,12993.0928872416,62.286,77.395,8.2,4094,45538401,43.1906614785992,Upper middle income,Latin America & Caribbean
ARM,100,20,0.4574,5197.23509013575,65.294,77.4658536585366,8.9,307,2964300,35.5140186915888,Upper middle income,Europe & Central Asia
ASM,..,..,0.0001,..,..,72.852,..,..,47521,..,High income,East Asia & Pacific
ATG,100,..,0.0014,17789.4058123944,..,77.598,7.2,8,93316,5.55555555555556,High income,Latin America & Caribbean
AUS,100,..,13.6317,61869.082498576,67.171,83.0512195121951,3.1,952,26659922,38.4105960264901,High income,East Asia & Pacific
AUT,100,..,5.0406,46497.9114640341,61.607,81.7926829268293,2.8,223,9131761,40.9836065573771,High income,Europe & Central Asia
AZE,100,442,1.7377,5668.61021317029,..,74.429,13.2,1674,10153958,18.6440677966102,Upper middle income,Europe & Central Asia
BDI,11.6,86,0.1351,264.843307950214,..,63.651,31.4,14342,13689450,38.2113821138211,Low income,Sub-Saharan Africa
BEL,100,..,9.8964,44866.1935177304,54.997,82.4,3.2,339,11779946,42.6666666666667,High income,Europe & Central Asia
BEN,57,28,1.2682,1263.62158336368,..,60.774,46.5,21922,14111034,26.605504587156,Lower middle income,Sub-Saharan Africa
BFA,21.7,4608,1.2641,745.405334618409,47.453,61.092,44.9,32279,23025776,16.9014084507042,Low income,Sub-Saharan Africa
BGD,99.5,..,13.4182,1885.37733613545,60.885,74.672,24.4,84861,171466990,20.8571428571429,Lower middle income,South Asia
BGR,100,..,4.1372,9787.26510772747,55.654,75.7560975609756,4.8,305,6446596,24.1666666666667,High income,Europe & Central Asia
BHR,100,..,4.0227,25342.6226641572,..,81.284,7.2,143,1577059,20,High income,Middle East & North Africa
BHS,100,..,0.0044,33009.645615121,97.662,74.552,11.3,49,399440,17.9487179487179,High income,Latin America & Caribbean
BIH,100,..,1.3741,6493.32400514463,51.868,77.85,5.3,132,3185073,19.0476190476191,Upper middle income,Europe & Central Asia
BLR,100,..,4.826,6497.78450683592,69.728,74.1837804878049,1.9,131,9178298,40,Upper middle income,Europe & Central Asia
BLZ,99.6,..,0.0032,6165.69414825936,..,73.566,10.9,78,411106,15.625,Upper middle income,Latin America & Caribbean
BMU,100,..,0.0009,115124.71719745,..,82.309,..,..,64698,..,High income,North America
BOL,99.8,..,1.5804,3122.77049447823,78.318,68.581,14.9,3859,12244159,46.1538461538462,Lower middle income,Latin America & Caribbean
BRA,99.8,..,47.3457,9288.02594608687,62.754,75.848,12.4,32508,211140729,17.5438596491228,Upper middle income,Latin America & Caribbean
BRB,100,..,0.0915,21068.2610447067,61.522,76.178,9.4,30,282336,26.6666666666667,High income,Latin America & Caribbean
BRN,100,..,0.1301,28645.9645396284,63.868,75.327,8.7,54,458949,11.7647058823529,High income,East Asia & Pacific
BTN,100,..,0.6191,3480.51388574877,64.994,72.975,14.3,142,786385,17.3913043478261,Lower middle income,South Asia
BWA,76,..,0.3546,7269.05170664457,67.828,69.163,33.3,2034,2480244,11.1111111111111,Upper middle income,Sub-Saharan Africa
CAF,17.6,261,0.011,397.467795750451,..,57.408,60.8,13811,5152421,12.8571428571429,Low income,Sub-Saharan Africa
CAN,100,..,30.9704,45048.2842408265,65.614,81.6263414634146,4.7,1659,40083484,30.6547619047619,High income,North America
CEB,100,..,47.7157,16494.8126887526,57.7665090828968,77.7580384683685,3.95279671275124,3527,100183707,25.531914893617,,Central Europe and the Baltics
CHE,100,..,2.5506,90077.4460280731,67.651,84.1560975609756,3.4,285,8888822,38.5,High income,Europe & Central Asia
CHI,100,..,..,69818.1528119104,..,81.1,..,..,167691,..,High income,Europe & Central Asia
CHL,100,..,3.0746,14280.3475638842,61.574,81.167,5.9,1074,19658835,35.4838709677419,High income,Latin America & Caribbean
CHN,100,1,1456.092,12484.1578844175,..,77.953,4.4,40319,1410710000,26.5367819952973,Upper middle income,East Asia & Pacific
CIV,72.4,..,2.2839,2315.38147441648,..,61.944,46.2,45447,31165654,13.7254901960784,Lower middle income,Sub-Saharan Africa
CMR,72,358,2.1201,1468.17837007337,..,63.7,41.3,39077,28372687,33.8888888888889,Lower middle income,Sub-Saharan Africa
COD,22.1,689,1.0194,539.45912637913,..,61.895,57.2,244464,105789731,12.8,Low income,Sub-Saharan Africa
COG,51.3,..,0.3597,1677.08549205924,..,65.772,27.7,5187,6182885,14.5695364238411,Lower middle income,Sub-Saharan Africa
COL,98.7,89,6.475,6828.59753791113,63.736,77.725,10.8,7642,52321152,28.8770053475936,Upper middle income,Latin America & Caribbean
COM,89.8,..,0.0023,1382.51308503106,..,66.777,36,870,850387,16.6666666666667,Lower middle income,Sub-Saharan Africa
CPV,98.6,..,0.002,4168.67748407593,..,76.059,11,71,522331,41.6666666666667,Upper middle income,Sub-Saharan Africa
CRI,100,..,0.4886,14318.8389652137,56.831,80.799,8.8,461,5105525,47.3684210526316,High income,Latin America & Caribbean
CSS,99.168477538461,..,12.1636,16468.9430284866,..,73.1716450013098,17.0205325047219,1117,4519904,26.3565891472868,,Caribbean small states
CUB,100,..,0.4599,7433.42885399674,..,78.085,6.5,625,11019931,55.7446808510638,Upper middle income,Latin America & Caribbean
CUW,100,..,..,17326.9646862721,..,76.8,..,..,154654,..,High income,Latin America & Caribbean
CYM,100,..,0.0019,83005.4838305223,..,80.358,..,..,73038,..,High income,Latin America & Caribbean
CYP,100,..,1.1419,31884.84375,65.54,81.648,3.8,55,1344976,14.2857142857143,High income,Europe & Central Asia
CZE,100,..,5.0998,20272.5874017334,59.951,79.8268292682927,2.1,202,10864042,26,High income,Europe & Central Asia
DEU,100,..,38.6229,44368.9920074881,61.672,81.0414634146342,3.1,2256,83287273,35.1902173913043,High income,Europe & Central Asia
DJI,65.2,..,0.1902,3117.8155381531,..,65.987,44.4,1054,1152944,26.1538461538462,Lower middle income,Middle East & North Africa
DMA,100,..,0.0015,8946.98822588042,..,71.132,33.1,24,66510,37.5,Upper middle income,Latin America & Caribbean
DNK,100,..,1.5492,59026.9843650999,63.652,81.7536585365854,3.4,199,5946952,43.5754189944134,High income,Europe & Central Asia
DOM,99.6,..,2.5059,8809.96335385949,64.282,73.72,28.4,5776,11331265,27.8947368421053,Upper middle income,Latin America & Caribbean
DZA,100,..,16.3884,4660.40545687895,..,76.261,19.7,18058,46164219,7.86240786240786,Upper middle income,Middle East & North Africa
EAP,98.2376383007189,2772,1643.0407,9665.75975299647,..,75.8806830895266,11.725115588834,233735,2137527754,22.7996395313908,,East Asia & Pacific (excluding high income)
EAR,95.7044381043822,35016,774.1644,3793.52187314813,57.8334872640569,71.7962449795855,26.1411721943006,1695932,3511607650,25.1365091319902,,Early-demographic dividend
EAS,98.4044624957692,2772,1778.1823,12789.571638276,..,76.6572021082574,11.1,237045,2384441485,22.5273328248157,,East Asia & Pacific
ECA,100,..,108.819,8356.07726564962,..,74.7901887741185,12.2873577138309,45249,248721385,26.1852662290299,,Europe & Central Asia (excluding high income)
