Country Code,Access to electricity (% of population),Battle-related deaths (number of people),Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),GDP per capita (constant 2015 US$),"Labor force participation rate, total (% of total population ages 15+) (national estimate)","Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)",Number of infant deaths,"Population, total",Proportion of seats held by women in national parliaments (%),Income Group,Region
IRQ,100,469,14.7547,4337.08705324182,..,72.324,20.7,23838,45074049,29.0519877675841,Upper middle income,Middle East & North Africa
ISL,100,..,1.667,60019.4084189868,75.038,82.4560975609756,2.1,9,385663,47.6190476190476,High income,Europe & Central Asia
ISR,100,26712,3.8212,42011.6213954855,65.055,83.1951219512195,2.7,468,9849000,24.1666666666667,High income,Middle East & North Africa
ITA,100,..,19.192,34239.6554751239,49.872,83.3512195121951,2.3,917,58984216,32.25,High income,Europe & Central Asia
JAM,97.7,..,0.4462,6127.90771263434,66.371,71.479,16.7,555,2839786,28.5714285714286,Upper middle income,Latin America & Caribbean
JOR,100,..,1.958,3958.23043952182,40.123,77.814,12.3,2891,11439213,12.3076923076923,Lower middle income,Middle East & North Africa
JPN,100,..,56.1371,36952.5150709861,62.9,84.0412195121951,1.8,1373,124516650,10.3448275862069,High income,East Asia & Pacific
KAZ,100,..,14.8948,11453.3952725363,..,74.402,7.6,3132,20330104,18.3673469387755,Upper middle income,Europe & Central Asia
KEN,76.2,202,4.074,1811.21651838425,..,63.646,34.7,51461,55339003,23.2758620689655,Lower middle income,Sub-Saharan Africa
KGZ,100,..,1.2176,1298.25724482211,56.921,72.2487804878049,15,2247,7099750,20,Lower middle income,Europe & Central Asia
KHM,95,..,3.7109,2085.05748462122,79.981,70.668,17,6158,17423880,13.6,Lower middle income,East Asia & Pacific
KIR,95.9,..,0.0004,1968.80973802094,54.586,66.473,39.8,136,132530,6.66666666666667,Lower middle income,East Asia & Pacific
KNA,100,..,0.0005,21664.0333984701,..,72.145,14.4,8,46758,31.25,High income,Latin America & Caribbean
KOR,100,..,52.2959,36347.7036392553,64.602,83.4292682926829,2.4,583,51712619,19.0635451505017,High income,East Asia & Pacific
KWT,100,..,7.1235,24716.196765637,..,83.1878048780488,7.2,352,4853420,3.07692307692308,High income,Middle East & North Africa
LAC,98.2687443423624,..,137.7711,8532.81169578021,63.6047623490831,75.4986013301867,13.417493882001,114489,589889543,36.6261398176292,,Latin America & Caribbean (excluding high income)
LAO,96.5,..,5.238,2648.88726608035,..,68.964,28.2,4585,7664993,21.9512195121951,Lower middle income,East Asia & Pacific
LBN,100,123,0.9851,5834.63415739394,..,77.817,14.7,1376,5773493,6.25,Lower middle income,Middle East & North Africa
LBR,32.5,..,0.1961,653.329188343162,..,62.163,63.6,10630,5493031,10.958904109589,Low income,Sub-Saharan Africa
LBY,73.2,..,2.6944,7630.49664928174,..,69.339,16.3,2038,7305659,16.4705882352941,Upper middle income,Middle East & North Africa
LCA,100,..,0.0014,11440.0829538276,68.87,72.697,16,32,179285,11.1111111111111,Upper middle income,Latin America & Caribbean
LCN,98.4226177260083,..,160.2861,8737.77637787077,63.4683632826505,75.6435273174016,13.6,126841,657616517,35.6995884773663,,Latin America & Caribbean
LDC,58.4341452966049,..,55.6949,1075.21265110133,..,66.5161082750607,41.849382418192,1500229,1160824674,26.6571834992888,,Least developed countries: UN classification
LIC,45.2721918756793,19377,16.4517,666.803267849144,..,64.5179111025439,47.7,991550,607774703,22.7133210558625,,Low income
LIE,100,..,..,..,..,84.5951219512195,..,..,39846,28,High income,Europe & Central Asia
LKA,100,..,2.1237,3964.91987394354,48.548,77.483,5.3,1737,22037000,5.33333333333333,Lower middle income,South Asia
LMC,91.2680749757223,6748,471.1181,2335.33048087966,59.1644273085005,69.5963746571515,33.9,2156078,3082002881,23.349564035783,,Lower middle income
LMY,90.491567372195,102455,2399.696,5470.5324742774,..,71.9735329954044,30.6830454921362,3479444,6498875200,24.9047507969831,,Low & middle income
LSO,57.3,..,0.0059,974.382478149793,..,57.375,58.4,3224,2311472,26.4462809917355,Lower middle income,Sub-Saharan Africa
LTE,99.457096381276,902,1863.0029,11413.7698244462,..,77.1240563291033,7.41382058803014,148242,2326296729,23.637385278142,,Late-demographic dividend
LTU,100,..,1.8003,18685.5523679178,63.117,77.290243902439,2.9,62,2871585,28.3687943262411,High income,Europe & Central Asia
LUX,100,..,0.5181,105422.829667869,62.243,83.309756097561,1.9,13,666430,33.3333333333333,High income,Europe & Central Asia
LVA,100,..,0.717,16229.3844520245,61.175,75.4268292682927,2.4,36,1883710,32,High income,Europe & Central Asia
MAC,100,..,0.0038,59474.3964251614,..,83.1804878048781,..,..,678800,..,High income,East Asia & Pacific
MAF,100,..,..,..,..,80.224,..,..,27515,..,High income,Latin America & Caribbean
MAR,100,..,4.7455,3421.21704101563,..,75.313,15.3,9634,37712505,24.3037974683544,Lower middle income,Middle East & North Africa
MCO,100,..,..,225884.183303985,..,86.372,2.3,1,38956,45.8333333333333,High income,Europe & Central Asia
MDA,100,..,0.6316,3760.7000642059,70.787,71.198,14.9,482,2457783,38.6138613861386,Upper middle income,Europe & Central Asia
MDG,39.4,..,0.1228,445.834551910581,..,63.632,43.7,43167,31195932,18.5430463576159,Low income,Sub-Saharan Africa
MDV,100,..,0.0043,11439.5364342871,..,81.041,5,29,525994,4.59770114942529,Upper middle income,South Asia
